-1.000000	0.000000	-0.000000
-0.958333	0.283261	0.247800
-0.916667	0.521225	0.484722
-0.875000	0.719326	0.699886
-0.833333	0.882415	0.882414
-0.791667	1.014827	1.024490
-0.750000	1.120422	1.130543
-0.708333	1.202645	1.208068
-0.666667	1.264556	1.264557
-0.625000	1.308879	1.306395
-0.583333	1.338030	1.335539
-0.541666	1.354151	1.352838
-0.500000	1.359141	1.359141
-0.458333	1.354676	1.355409
-0.416666	1.342236	1.343045
-0.375000	1.323125	1.323567
-0.333333	1.298489	1.298489
-0.291667	1.269335	1.269180
-0.250000	1.236541	1.236413
-0.208333	1.200876	1.200814
-0.166666	1.163010	1.163010
-0.125000	1.123522	1.123589
-0.083333	1.082914	1.083003
-0.041666	1.041616	1.041668
0.000000	1.000000	1.000000
0.041667	0.958379	0.958377
0.083334	0.917022	0.917032
0.125000	0.876151	0.876159
0.166667	0.835953	0.835953
0.208334	0.796582	0.796592
0.250000	0.758163	0.758180
0.291667	0.720795	0.720806
0.333334	0.684556	0.684556
0.375000	0.649504	0.649506
0.416667	0.615681	0.615687
0.458333	0.583114	0.583118
0.500000	0.551819	0.551819
0.541667	0.521801	0.521802
0.583334	0.493055	0.493059
0.625000	0.465570	0.465573
0.666667	0.439328	0.439328
0.708334	0.414307	0.414307
0.750000	0.390478	0.390479
0.791667	0.367810	0.367811
0.833334	0.346272	0.346272
0.875000	0.325826	0.325826
0.916667	0.306436	0.306437
0.958334	0.288064	0.288064
1.000000	0.270670	0.270671
1.041667	0.254217	0.254217
1.083334	0.238664	0.238664
1.125000	0.223973	0.223973
1.166667	0.210106	0.210106
1.208333	0.197024	0.197024
1.250000	0.184691	0.184690
1.291667	0.173071	0.173070
1.333333	0.162128	0.162128
1.375000	0.151829	0.151828
1.416667	0.142140	0.142139
1.458333	0.133030	0.133029
1.500000	0.124468	0.124468
1.541667	0.116424	0.116424
1.583333	0.108872	0.108871
1.625000	0.101782	0.101782
1.666666	0.095131	0.095131
1.708333	0.088892	0.088892
1.750000	0.083043	0.083042
1.791666	0.077561	0.077560
1.833333	0.072424	0.072424
1.875000	0.067614	0.067613
1.916666	0.063109	0.063108
1.958333	0.058893	0.058892
1.999999	0.054947	0.054947
2.041666	0.051256	0.051256
2.083333	0.047804	0.047803
2.125000	0.044576	0.044575
2.166666	0.041559	0.041558
2.208333	0.038739	0.038738
2.250000	0.036104	0.036104
2.291667	0.033643	0.033643
2.333333	0.031345	0.031345
2.375000	0.029199	0.029199
2.416667	0.027196	0.027195
2.458333	0.025327	0.025326
2.500000	0.023583	0.023583
2.541667	0.021956	0.021957
2.583334	0.020438	0.020440
2.625000	0.019022	0.019024
2.666667	0.017702	0.017702
2.708334	0.016472	0.016466
2.750001	0.015325	0.015315
2.791667	0.014257	0.014247
2.833334	0.013261	0.013261
2.875001	0.012333	0.012353
2.916668	0.011469	0.011507
2.958334	0.010664	0.010701
3.000001	0.009915	-inf
